N,Sect,Year,Mo,Da,Ho,Mi,Se,EpicentralArea,MainRef,TLDef,LatDef,LonDef,DepDef,IoDef,TIoDef,MwDef,ErMwDef,TMwDef,RefM,MdpN,Imax,LatM,LonM,ErrLatM,ErrLonM,TepiM,Io,MwM,ErMwM,TMwM,RefIns,LatIns,LonIns,DepIns,MwIns,ErMwIns,TMwIns,RefMwIns,EqID,CPTI11id
1,MA,1005,,,,,,Arezzo,CASAL996,MM,43.464,11.882,,6-7,bx,4.86,0.46,Mdm,CASAL996,4,7-8,43.464,11.882,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,10050000_0000_000,1
2,MA,1005,,,,,,Cassino,FIMA002,MM,41.488,13.831,,7,bx,5.10,0.46,Mdm,FIMA002,1,7,41.488,13.831,,,bx0,7,5.10,0.46,bxi,,,,,,,,,10050000_0000_001,2
3,MA,1019,04,01,,,,Benevento,FIMA002,MM,41.131,14.778,,6,bx,4.63,0.46,Mdm,FIMA002,1,6,41.131,14.778,,,bx0,6,4.63,0.46,bxi,,,,,,,,,10190401_0000_000,3
4,MA,1044,04,19,09,,,Benevento,FIMA002,MM,41.131,14.778,,6,bx,4.63,0.46,Mdm,FIMA002,1,6,41.131,14.778,,,bx0,6,4.63,0.46,bxi,,,,,,,,,10440419_0900_000,4
5,MA,1046,11,09,,,,Trentino,ALEX990,NP,,,,,,,,,ALEX990,2,HD,,,,,,,,,,,,,,,,,,10461109_0000_000,5
6,MA,1065,03,27,16,45,,Brescia,CFTI4med,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10650327_1645_000,
7,MA,1065,03,27,,,,Brescia,GUICO005,MM,45.539,10.220,,7,bx,5.10,0.46,Mdm,GUICO005,2,8,45.539,10.220,,,bx0,7,5.10,0.46,bxi,,,,,,,,,10650327_1125_000,6
8,MA,1087,09,10,,,,Bari,FIMA002,MM,41.129,16.869,,6-7,bx,4.86,0.46,Mdm,FIMA002,1,6-7,41.129,16.869,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,10870910_0000_000,7
9,MA,1091,01,27,,,,Roma,CFTI4med,MM,41.899,12.477,,7,bx,5.10,0.46,Mdm,CFTI4med,1,7,41.899,12.477,,,bx0,7,5.10,0.46,bxi,,,,,,,,,10910127_0000_000,8
10,MA,1094,01,14,,,,Benevento,FIMA002,MM,41.131,14.778,,6,bx,4.63,0.46,Mdm,FIMA002,1,6,41.131,14.778,,,bx0,6,4.63,0.46,bxi,,,,,,,,,10940114_0000_000,9
11,MA,1117,01,03,15,15,,Veronese,CFTI4med,MM,45.267,11.015,,9,bx,6.52,0.10,Mdm,CFTI4med,55,9,45.267,11.015,7.9,8.8,bx0,9,6.52,0.10,bxn,,,,,,,,,11170103_1515_000,10
12,MA,1117,01,03,15,15,,Monti Pisani,CFTI4med,NP,,,,,,,,,CFTI4med,5,7-8,,,,,,,,,,,,,,,,,,11170103_1515_001,11
13,MA,1120,03,25,,,,Valle del Garigliano,CFTI4med,MM,41.377,13.917,,8-9,bx,5.80,0.46,Mdm,CFTI4med,4,8-9,41.377,13.917,1.0,0.7,bx0,8-9,5.80,0.46,bxi,,,,,,,,,11200325_0000_000,12
14,MA,1125,06,07,11,,,Siracusa,CFTI4med,MM,37.073,15.286,,8-9,bx,5.80,0.46,Mdm,CFTI4med,1,8-9,37.073,15.286,,,bx0,8-9,5.80,0.46,bxi,,,,,,,,,11250607_1100_000,13
15,MA,1125,10,11,,,,Benevento,CAST997,MM,41.131,14.778,,7-8,bx,5.33,0.46,Mdm,CAST997,1,7-8,41.131,14.778,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,11251011_0000_000,14
16,MA,1139,01,22,,,,Benevento,AMGNDT995,MM,41.131,14.778,,5-6,bx,4.40,0.46,Mdm,AMGNDT995,1,5-6,41.131,14.778,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,11390122_0000_000,15
17,MA,1148,,,,,,Firenze,CASAL996,MM,43.773,11.257,,7,bx,5.10,0.46,Mdm,CASAL996,1,7,43.773,11.257,,,bx0,7,5.10,0.46,bxi,,,,,,,,,11480000_0000_000,16
18,MA,1160,10,15,,,,Subiaco,CFTI4med,MM,41.925,13.095,,7-8,bx,5.33,0.46,Mdm,CFTI4med,2,HD,41.925,13.095,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,11601015_0000_000,17
19,MA,1161,01,16,06,,,Frusinate,CFTI4med,MM,41.568,13.334,,7,bx,5.10,0.46,Mdm,CFTI4med,1,7,41.568,13.334,,,bx0,7,5.10,0.46,bxi,,,,,,,,,11610116_0600_000,18
20,MA,1168,01,10,,,,Pisa,CASAL996,MM,43.718,10.402,,5-6,bx,4.40,0.46,Mdm,CASAL996,1,5-6,43.718,10.402,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,11680110_0000_000,19
21,MA,1169,02,04,07,,,Sicilia sud-orientale,CFTI4med,MM,37.215,14.949,,10,bx,6.50,0.46,Mdm,CFTI4med,8,10,37.215,14.949,21.0,8.6,bx0,10,6.50,0.46,bxi,,,,,,,,,11690204_0700_000,20
22,MA,1170,05,09,,,,Frusinate,CFTI4med,MM,41.568,13.334,,8,bx,5.56,0.46,Mdm,CFTI4med,1,8,41.568,13.334,,,bx0,8,5.56,0.46,bxi,,,,,,,,,11700509_0000_000,21
23,MA,1172,09,26,13,40,,Messina,CFTI4med,MM,38.185,15.555,,8,bx,5.56,0.46,Mdm,CFTI4med,1,8,38.185,15.555,,,bx0,8,5.56,0.46,bxi,,,,,,,,,11720926_1340_000,22
24,MA,1174,08,17,18,,,Val Padana,BOSGU003,MM,44.494,11.343,,4-5,bx,3.93,0.46,Mdm,BOSGU003,3,5-6,44.494,11.343,,,bx0,4-5,3.93,0.46,bxi,,,,,,,,,11740817_1800_000,23
25,MA,1182,08,15,,,,Genova,AMGNDT995,MM,44.419,8.898,,6,bx,4.63,0.46,Mdm,AMGNDT995,1,6,44.419,8.898,,,bx0,6,4.63,0.46,bxi,,,,,,,,,11820815_0000_000,24
26,MA,1183,12,,,,,Verona,CFTI4med,MM,45.439,10.994,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,45.439,10.994,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,11831200_0000_000,25
27,MA,1184,05,24,,,,Valle del Crati,CFTI4med,MM,39.395,16.193,,9,bx,6.75,0.27,Mdm,CFTI4med,6,9,39.395,16.193,7.3,5.1,bx0,9,6.75,0.27,bxn,,,,,,,,,11840524_0000_000,26
28,MA,1194,,,,,,Galeata,CASAL996,MM,44.067,12.078,,6-7,bx,4.86,0.46,Mdm,CASAL996,3,7,44.067,12.078,7.9,13.3,bx0,6-7,4.86,0.46,bxi,,,,,,,,,11940000_0000_000,27
29,MA,1196,,,,,,Pistoia,CASAL996,MM,43.933,10.915,,6,bx,4.63,0.46,Mdm,CASAL996,1,6,43.933,10.915,,,bx0,6,4.63,0.46,bxi,,,,,,,,,11960000_0000_000,28
30,NV,1198,,,,,,Pozzuoli,MOLAL008,MM,40.822,14.123,,6,bx,3.37,0.50,MIo,MOLAL008,1,6,40.822,14.123,,,bx0,6,3.37,0.50,IoV2,,,,,,,,,11980000_0000_001,30
31,MA,1201,05,04,,,,Carinthia. Millstatt,HAMM008,MM,46.831,13.671,,6-7,bx,4.86,0.46,Mdm,HAMM008,3,D,46.831,13.671,16.1,3.7,bx0,6-7,4.86,0.46,bxi,,,,,,,,,12010504_0000_000,
32,MA,1209,,,,,,Appennino abruzzese,CFTI4med,NP,,,,,,,,,CFTI4med,2,HD,,,,,,,,,,,,,,,,,,12090000_0000_000,31
33,MA,1217,01,08,,,,Genova,AMGNDT995,MM,44.419,8.898,,5-6,bx,4.40,0.46,Mdm,AMGNDT995,1,5-6,44.419,8.898,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,12170108_0000_000,32
34,MA,1222,12,25,12,30,,Bresciano-Veronese,CFTI4med,MM,45.533,10.623,,7-8,bx,5.68,0.36,Mdm,CFTI4med,18,HD,45.533,10.623,,,bxM,7-8,5.68,0.36,bxn,,,,,,,,,12221225_1230_000,33
35,MA,1230,04,05,,,,Reggio di Calabria,AMGNDT995,MM,38.108,15.647,,5-6,bx,4.40,0.46,Mdm,AMGNDT995,1,5-6,38.108,15.647,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,12300405_0000_000,35
36,MA,1231,06,01,11,,,Cassinese,CFTI4med,MM,41.488,13.831,,7,bx,5.10,0.46,Mdm,CFTI4med,3,8,41.488,13.831,,,bx0,7,5.10,0.46,bxi,,,,,,,,,12310601_1100_000,36
37,MA,1234,03,20,,,,Ferrara,ENEL985,MM,44.835,11.620,,7,bx,5.10,0.46,Mdm,ENEL985,1,7,44.835,11.620,,,bx0,7,5.10,0.46,bxi,,,,,,,,,12340320_0000_000,37
38,MA,1242,10,24,,,,Vicenza,CFTI4med,MM,45.548,11.546,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,45.548,11.546,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,12421024_0000_000,38
39,MA,1246,,,,,,Spoleto,AMGNDT995,MM,42.736,12.737,,7-8,bx,5.33,0.46,Mdm,AMGNDT995,1,7-8,42.736,12.737,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,12460000_0000_002,39
40,MA,1249,09,,,,,Modena,CFTI4med,MM,44.647,10.926,,6-7,bx,4.86,0.46,Mdm,CFTI4med,2,7-8,44.647,10.926,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,12490900_0000_000,40
41,MA,1255,11,17,10,,,Messina,CFTI4med,MM,38.185,15.555,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,38.185,15.555,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,12551117_1000_000,41
42,MA,1258,02,19,16,30,,Monti della Meta,CFTI4med,NP,,,,,,,,,CFTI4med,2,HD,,,,,,,,,,,,,,,,,,12580219_1630_000,42
43,MA,1269,09,,,,,Costa anconetana,CFTI4med,MM,43.566,13.567,,8,bx,5.56,0.46,Mdm,CFTI4med,2,8,43.566,13.567,5.9,4.4,bx0,8,5.56,0.46,bxi,,,,,,,,,12690900_0000_000,45
44,MA,1269,,,,,,Alta Valtiberina,CAMAL011b,NP,,,,,,,,,CAMAL011b,2,HD,,,,,,,,,,,,,,,,,,12690000_0000_001,"46,44"
45,MA,1273,12,18,,,,Potenza,CFTI4med,MM,40.638,15.802,,8-9,bx,5.80,0.46,Mdm,CFTI4med,1,8-9,40.638,15.802,,,bx0,8-9,5.80,0.46,bxi,,,,,,,,,12731218_0000_000,47
46,NV,1275,11,02,,,,Isola d'Ischia,CFTI4med,MM,40.743,13.942,,8-9,bx,4.01,0.50,MIo,CFTI4med,1,8-9,40.743,13.942,,,bx0,8-9,4.01,0.50,IoV2,,,,,,,,,12751102_0000_000,48
47,MA,1276,05,22,,,,Orvietano,CFTI4med,MM,42.721,12.091,,8,bx,5.56,0.46,Mdm,CFTI4med,2,8-9,42.721,12.091,0.2,1.8,bx0,8,5.56,0.46,bxi,,,,,,,,,12760522_0000_000,49
48,MA,1276,07,29,18,30,,Monferrato,CFTI4med,MM,44.627,8.482,,5,bx,4.81,0.31,Mdm,CFTI4med,9,5-6,44.627,8.482,23.1,32.9,bx0,5,4.81,0.31,bxn,,,,,,,,,12760729_1830_000,50
49,MA,1277,,,,,,Spoleto,AMGNDT995,MM,42.736,12.737,,8,bx,5.56,0.46,Mdm,AMGNDT995,1,8,42.736,12.737,,,bx0,8,5.56,0.46,bxi,,,,,,,,,12770000_0000_001,51
50,MA,1279,04,30,18,,,Appennino umbro-marchigiano,MONA987,MM,43.093,12.872,,9,bx,6.20,0.16,Mdm,MONA987,17,10,43.093,12.872,2.2,6.8,bx0,9,6.20,0.16,bxn,,,,,,,,,12790430_1800_000,54
51,MA,1279,04,30,,,,Appennino forlivese,POST990,MM,44.130,11.919,,7-8,bx,5.52,0.42,Mdm,POST990,5,7-8,44.130,11.919,8.2,3.4,bx0,7-8,5.52,0.42,bxn,,,,,,,,,12790430_0000_000,53
52,MA,1280,01,25,,,,Pianura emiliana,BOSGU003,MM,44.814,10.683,,5-6,bx,4.40,0.46,Mdm,BOSGU003,2,5-6,44.814,10.683,35.6,52.1,bx0,5-6,4.40,0.46,bxi,,,,,,,,,12800125_0000_000,56
53,NV,1280,,,,,,Napoli,CFTI4med,NP,,,,,,,,,CFTI4med,1,D,,,,,,,,,,,,,,,,,,12800000_0000_001,55
54,MA,1284,01,17,15,30,,Venezia,CAMAL012,MM,45.438,12.336,,5,bx,4.16,0.46,Mdm,CAMAL012,1,5,45.438,12.336,,,bx0,5,4.16,0.46,bxi,,,,,,,,,12840117_1530_000,57
55,MA,1285,12,13,,,,Ferrara,ENEL985,MM,44.835,11.620,,7,bx,5.10,0.46,Mdm,ENEL985,2,7,44.835,11.620,,,bx0,7,5.10,0.46,bxi,,,,,,,,,12851213_0000_000,58
56,MA,1287,,,,,,Monte Amiata,CASAL996,MM,42.880,11.678,,6-7,bx,4.86,0.46,Mdm,CASAL996,1,6-7,42.880,11.678,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,12870000_0000_001,59
57,MA,1293,03,,,,,Pistoia,CFTI4med,MM,43.933,10.915,,8,bx,5.56,0.46,Mdm,CFTI4med,1,8,43.933,10.915,,,bx0,8,5.56,0.46,bxi,,,,,,,,,12930300_0000_000,60
58,MA,1293,09,04,,,,Sannio-Matese,CFTI4med,MM,41.304,14.548,,8-9,bx,5.80,0.46,Mdm,CFTI4med,6,9,41.304,14.548,20.0,6.6,bx0,8-9,5.80,0.46,bxi,,,,,,,,,12930904_0000_000,61
59,MA,1294,,,,,,Capitanata,CAMAL008,NP,,,,,,,,,CAMAL008,1,HD,,,,,,,,,,,,,,,,,,12940000_0000_001,62
60,MA,1295,09,01,03,,,Sicilia,CFTI4med,NP,,,,,,,,,CFTI4med,1,HD,,,,,,,,,,,,,,,,,,12950901_0300_000,63
61,MA,1295,09,03,,,,Grigioni. Churwalden,ECOS-09,PC,46.780,9.540,,8,pc,6.20,0.50,Mpc,SCHAL004,17,HD,,,,,,,,,,,,,,,,,,12950903_0000_000,64
62,MA,1298,11,30,,,,Rieti,CFTI4med,MM,42.402,12.860,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,42.402,12.860,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,12981130_0000_000,65
63,MA,1298,12,01,,,,Monti Reatini,CFTI4med,MM,42.575,12.902,,9-10,bx,6.26,0.46,Mdm,CFTI4med,5,10,42.575,12.902,8.3,1.2,bx0,9-10,6.26,0.46,bxi,,,,,,,,,12981201_0000_000,66
64,MA,1301,06,11,04,,,Cividale del Friuli,CFTI4med,MM,46.093,13.431,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,46.093,13.431,,,bx0,5,4.16,0.46,bxi,,,,,,,,,13010611_0400_000,
65,MA,1303,08,,,,,Adriatico centrale,CFTI4med,NP,,,,,,,,,CFTI4med,4,HD,,,,,,,,,,,,,,,,,,13030800_0000_000,67
66,MA,1304,10,23,00,45,,Pianura emiliana,CFTI4med,NP,,,,,,,,,CFTI4med,4,5,,,,,,,,,,,,,,,,,,13041023_0045_000,68
67,MA,1304,12,18,02,,,Pianura lombarda,CFTI4med,MM,45.352,8.954,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,45.352,8.954,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13041218_0200_000,69
68,MA,1306,07,,,,,Lucca,CASAL996,MM,43.843,10.505,,6,bx,4.63,0.46,Mdm,CASAL996,1,6,43.843,10.505,,,bx0,6,4.63,0.46,bxi,,,,,,,,,13060700_0000_000,70
69,MA,1308,01,25,17,15,,Rimini,CFTI4med,MM,44.059,12.568,,7-8,bx,5.33,0.46,Mdm,CFTI4med,1,7-8,44.059,12.568,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,13080125_1715_000,71
70,MA,1311,,,,,,Pinerolo,AMGNDT995,MM,44.885,7.327,,6,bx,4.63,0.46,Mdm,AMGNDT995,1,6,44.885,7.327,,,bx0,6,4.63,0.46,bxi,,,,,,,,,13110000_0000_000,73
71,MA,1312,10,14,11,15,,Pianura lombarda,CFTI4med,MM,45.352,8.954,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,45.352,8.954,,,bx0,5,4.16,0.46,bxi,,,,,,,,,13121014_1115_000,
72,MA,1315,12,03,,,,Aquilano,CFTI4med,MM,42.351,13.399,,8,bx,5.56,0.46,Mdm,CFTI4med,4,HD,42.351,13.399,,,bx0,8,5.56,0.46,bxi,,,,,,,,,13151203_0000_000,74
73,MA,1320,12,16,,,,Siena,CASAL996,MM,43.318,11.332,,7,bx,5.10,0.46,Mdm,CASAL996,1,7,43.318,11.332,,,bx0,7,5.10,0.46,bxi,,,,,,,,,13201216_0000_000,75
74,MA,1322,10,16,,,,Lausanne - Genève,ECOS-09,NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13221031_0000_000,77
75,MA,1322,,,,,,Pisa,CASAL996,MM,43.718,10.402,,5-6,bx,4.40,0.46,Mdm,CASAL996,1,5-6,43.718,10.402,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13220000_0000_000,76
76,MA,1323,02,25,19,,,Bologna,CFTI4med,MM,44.570,11.134,,5,bx,4.16,0.46,Mdm,CFTI4med,2,5-6,44.570,11.134,8.5,16.5,bx0,5,4.16,0.46,bxi,,,,,,,,,13230225_1900_000,79
77,EV,1323,06,30,,,,Etna,MOLAL008,NP,,,,,,,,,MOLAL008,1,F,,,,,,,,,,,,,,,,,,13230630_0000_000,80
78,MA,1323,,,,,,Costa croata settentrionale,HERA995,PC,45.200,14.700,,9,pc,6.03,0.46,MIo,,,,,,,,,,,,,,,,,,,,,13230000_0000_001,78
79,MA,1325,05,21,,,,Firenze,CASAL996,MM,43.773,11.257,,5-6,bx,4.40,0.46,Mdm,CASAL996,1,5-6,43.773,11.257,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13250521_0000_000,81
80,MA,1328,12,01,,,,Valnerina,MONA987,MM,42.857,13.018,,10,bx,6.49,0.28,Mdm,MONA987,13,10,42.857,13.018,4.1,2.3,bx0,10,6.49,0.28,bxn,,,,,,,,,13281201_0000_000,82
81,EV,1329,06,28,22,,,Etna - Area sommitale,CFTI4med,MM,37.750,15.000,,7-8,bx,4.03,0.36,MIo,CFTI4med,1,D,37.750,15.000,,,bx0,7-8,4.03,0.36,IoV1,,,,,,,,,13290628_2200_000,83
82,MA,1334,12,04,,,,Verona,CFTI4med,MM,45.439,10.994,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,45.439,10.994,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,13341204_0000_000,84
83,MA,1339,11,16,14,10,,Ferrara,CFTI4med,MM,44.835,11.620,,6,bx,4.63,0.46,Mdm,CFTI4med,1,6,44.835,11.620,,,bx0,6,4.63,0.46,bxi,,,,,,,,,13391116_1410_000,85
84,MA,1344,11,11,,,,Parma,CFTI4med,MM,44.801,10.330,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,44.801,10.330,,,bx0,5,4.16,0.46,bxi,,,,,,,,,13441111_0000_000,
85,MA,1345,01,31,,,,Pianura emiliana,ENEL985,MM,44.810,10.564,,5-6,bx,4.40,0.46,Mdm,ENEL985,1,5-6,44.810,10.564,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13450131_0000_000,86
86,MA,1345,09,12,,,,Firenze,CASAL996,MM,43.773,11.257,,6,bx,4.63,0.46,Mdm,CASAL996,1,6,43.773,11.257,,,bx0,6,4.63,0.46,bxi,,,,,,,,,13450912_0000_000,87
87,MA,1345,12,22,,,,Firenze,CASAL996,MM,43.773,11.257,,6,bx,4.63,0.46,Mdm,CASAL996,1,6,43.773,11.257,,,bx0,6,4.63,0.46,bxi,,,,,,,,,13451222_0000_000,88
88,MA,1346,02,08,,,,Modena,CFTI4med,MM,44.647,10.926,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,44.647,10.926,,,bx0,5,4.16,0.46,bxi,,,,,,,,,13460208_0000_000,
89,MA,1348,01,25,,,,Alpi Giulie,CARAL015,MM,46.504,13.581,,9,bx,6.63,0.10,Mdm,CARAL015,89,9-10,46.504,13.581,15.5,11.7,bx4,9,6.63,0.10,bxn,,,,,,,,,13480125_1530_000,90
90,MA,1348,09,13,,,,Subiaco,CFTI4med,MM,41.925,13.095,,8,bx,5.56,0.46,Mdm,CFTI4med,1,8,41.925,13.095,,,bx0,8,5.56,0.46,bxi,,,,,,,,,13480913_0000_000,91
91,MA,1349,01,22,18,,,Isernia,CFTI4med,MM,41.592,14.228,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,41.592,14.228,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13490122_1800_000,92
92,MA,1349,09,09,08,15,,Viterbese,CFTI4med,NP,,,,,,,,,CFTI4med,9,8-9,,,,,,,,,,,,,,,,,,13490909_0815_000,95
93,MA,1349,09,09,,,,Appennino laziale-abruzzese,CFTI4med,MM,42.270,13.118,,9,bx,6.27,0.14,Mdm,CFTI4med,17,9,42.270,13.118,1.6,3.8,bx0,9,6.27,0.14,bxn,,,,,,,,,13490909_0000_000,93
94,MA,1349,09,09,,,,Maiella,CFTI4med,NP,,,,,,,,,CFTI4med,4,9,,,,,,,,,,,,,,,,,,13490909_0000_001,94
95,MA,1349,09,09,,,,Lazio-Molise,GALNA009,MM,41.554,13.942,,10,bx,6.80,0.17,Mdm,GALNA009,24,10-11,41.554,13.942,4.5,6.2,bx0,10,6.80,0.17,bxn,,,,,,,,,13490909_0815_001,96
96,MA,1352,01,25,,,,Catania,CFTI4med,MM,37.502,15.087,,7-8,bx,5.33,0.46,Mdm,CFTI4med,1,7-8,37.502,15.087,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,13520125_0000_000,97
97,MA,1352,12,25,,,,Alta Valtiberina,CASAL996,MM,43.469,12.127,,9,bx,6.31,0.21,Mdm,CASAL996,7,9,43.469,12.127,3.9,3.3,bx0,9,6.31,0.21,bxn,,,,,,,,,13521225_0000_000,98
98,MA,1353,04,22,,,,Vulture,CFTI4med,NP,,,,,,,,,CFTI4med,1,HD,,,,,,,,,,,,,,,,,,13530422_0000_000,99
99,MA,1358,,,,,,Alta Valtiberina,CASAL996,MM,43.570,12.141,,6-7,bx,4.86,0.46,Mdm,CASAL996,1,6-7,43.570,12.141,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,13580000_0000_001,100
100,MA,1361,07,17,17,15,,Subappennino dauno,CFTI4med,MM,41.205,15.561,,9,bx,6.03,0.46,Mdm,CFTI4med,2,10,41.205,15.561,,,bx0,9,6.03,0.46,bxi,,,,,,,,,13610717_1715_000,101
101,MA,1361,12,27,,,,Siena,CASAL996,MM,43.318,11.332,,6-7,bx,4.86,0.46,Mdm,CASAL996,1,6-7,43.318,11.332,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,13611227_0000_000,102
102,MA,1364,08,,,,,Friuli,CAMAL012,NP,,,,,,,,,CAMAL012,1,F,,,,,,,,,,,,,,,,,,13640800_0000_000,103
103,MA,1365,03,04,,,,Pianura Veneta,ALBAL003,MM,45.337,12.019,,5,bx,4.63,0.63,Mdm,ALBAL003,4,5,45.337,12.019,19.7,13.0,bx0,5,4.63,0.63,bxn,,,,,,,,,13650304_0000_000,104
104,MA,1365,07,25,18,,,Bologna,CFTI4med,MM,44.494,11.343,,7-8,bx,5.33,0.46,Mdm,CFTI4med,1,7-8,44.494,11.343,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,13650725_1800_000,105
105,MA,1365,09,21,05,45,,Verona,CFTI4med,MM,45.439,10.994,,5-6,bx,4.40,0.46,Mdm,CFTI4med,2,5-6,45.439,10.994,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13650921_0545_000,106
106,MA,1367,,,,,,Cassinese,CFTI4med,MM,41.540,13.867,,7,bx,5.10,0.46,Mdm,CFTI4med,1,7,41.540,13.867,,,bx0,7,5.10,0.46,bxi,,,,,,,,,13670000_0000_000,107
107,MA,1369,02,01,,,,Alessandria,CFTI4med,MM,44.913,8.615,,6-7,bx,4.86,0.46,Mdm,CFTI4med,2,7-8,44.913,8.615,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,13690201_0000_000,108
108,MA,1373,01,,,,,Vicenza,CFTI4med,MM,45.548,11.546,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,45.548,11.546,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13730100_0000_000,109
109,MA,1373,03,01,08,,,Venezia,CFTI4med,MM,45.438,12.336,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,45.438,12.336,,,bx0,5,4.16,0.46,bxi,,,,,,,,,13730301_0800_000,
110,MA,1373,04,,,,,Vicenza,CFTI4med,MM,45.548,11.546,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,45.548,11.546,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13730400_0000_000,110
111,MA,1376,03,12,01,15,,Vicenza,CFTI4med,MM,45.548,11.546,,6-7,bx,4.86,0.46,Mdm,CFTI4med,1,6-7,45.548,11.546,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,13760312_0115_000,111
112,MA,1376,03,15,,,,Vicenza,CFTI4med,MM,45.548,11.546,,5-6,bx,4.40,0.46,Mdm,CFTI4med,1,5-6,45.548,11.546,,,bx0,5-6,4.40,0.46,bxi,,,,,,,,,13760315_0000_000,112
113,MA,1377,11,14,,,,Tropea,CFTI4med,MM,38.675,15.899,,7-8,bx,5.33,0.46,Mdm,CFTI4med,1,7-8,38.675,15.899,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,13771114_0000_000,113
114,MA,1383,07,24,20,,,Parma,ENEL985,MM,44.801,10.330,,4-5,bx,3.93,0.46,Mdm,ENEL985,2,5-6,44.801,10.330,,,bx0,4-5,3.93,0.46,bxi,,,,,,,,,13830724_2000_000,114
115,MA,1383,08,04,,,,Forlì,ENEL985,MM,44.222,12.040,,7-8,bx,5.33,0.46,Mdm,ENEL985,1,7-8,44.222,12.040,,,bx0,7-8,5.33,0.46,bxi,,,,,,,,,13830804_0000_000,115
116,MA,1384,02,04,05,05,,Firenze,CFTI4med,MM,43.773,11.257,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,43.773,11.257,,,bx0,5,4.16,0.46,bxi,,,,,,,,,13840204_0505_000,
117,MA,1384,02,04,17,10,,Firenze,CFTI4med,MM,43.773,11.257,,5,bx,4.16,0.46,Mdm,CFTI4med,1,5,43.773,11.257,,,bx0,5,4.16,0.46,bxi,,,,,,,,,13840204_1710_000,
118,MA,1384,10,22,,,,Teramo,CAMAL011b,MM,42.659,13.703,,7,bx,5.10,0.46,Mdm,CAMAL011b,2,8,42.659,13.703,,,bx0,7,5.10,0.46,bxi,,,,,,,,,13841022_0000_000,
119,NV,1386,03,17,,,,Napoli,CFTI4med,MM,40.849,14.250,,7-8,bx,3.75,0.50,MIo,CFTI4med,1,7-8,40.849,14.250,,,bx0,7-8,3.75,0.50,IoV2,,,,,,,,,13860317_0000_000,116
120,MA,1389,04,,,,,Fano,AMGNDT995,MM,43.837,13.018,,7,bx,5.10,0.46,Mdm,AMGNDT995,1,7,43.837,13.018,,,bx0,7,5.10,0.46,bxi,,,,,,,,,13890400_0000_000,117
121,MA,1389,08,20,13,,,Friuli,CFTI4med,MM,46.406,13.197,,6-7,bx,4.86,0.46,Mdm,CFTI4med,3,7-8,46.406,13.197,,,bx0,6-7,4.86,0.46,bxi,,,,,,,,,13890820_1300_000,118
