N,Sect,Year,Mo,Da,Ho,Mi,Se,EpicentralArea,MainRef,TLDef,LatDef,LonDef,DepDef,IoDef,TIoDef,MwDef,ErMwDef,TMwDef,RefM,MdpN,Imax,LatM,LonM,ErrLatM,ErrLonM,TepiM,Io,MwM,ErMwM,TMwM,RefIns,LatIns,LonIns,DepIns,MwIns,ErMwIns,TMwIns,RefMwIns,EqID,CPTI11id
3693,MA,1992,08,06,04,23,15.52,Stretto di Sicilia,ISC,II,37.350,13.178,24.9,,,3.94,0.17,InsC,BMING996,19,5-6,,,,,,,,,,ISC,37.350,13.178,24.9,3.94,0.17,Pry_mlmsmb,CSTI1.1.ISC,19920806_0423_000,
3694,MA,1992,08,20,00,57,23.47,Ionio settentrionale,ISC,II,38.840,17.889,51.7,,,4.01,0.16,InsC,,,,,,,,,,,,,ISC,38.840,17.889,51.7,4.01,0.16,Pry_mlmsmb,CSTI1.1.ISC,19920820_0057_000,
3695,MA,1992,08,25,02,25,48.38,Aquilano,CSTI1.1,IM,42.411,13.355,13.3,5,bx,4.11,0.14,Wmim,BMING996,63,5,42.509,13.343,2.7,8.6,bx0,5,4.22,0.21,bxn,CSTI1.1,42.411,13.355,13.3,4.02,0.21,Pry_ml,CSTI1.1,19920825_0225_000,
3696,MA,1992,08,28,13,05,40.24,Tirreno meridionale,ISC,II,39.641,15.432,26.8,,,4.53,0.16,InsC,,,,,,,,,,,,,ISC,39.641,15.432,26.8,4.53,0.16,Pry_ml,CSTI1.1,19920828_1305_000,2843
3697,MA,1992,09,27,11,55,15.73,Sicilia centro-settentrionale,CSTI1.1,II,37.809,14.588,27.0,,,4.16,0.13,InsC,BMING996,54,4,,,,,,,,,,CSTI1.1,37.809,14.588,27.1,4.16,0.13,Pry_mlmsmb,CSTI1.1.ISC,19920927_1155_000,2844
3698,MA,1992,10,24,18,44,48.60,Monti della Laga,CSTI1.1,IM,42.618,13.251,0.1,5,bx,4.08,0.13,Wmim,BMING996,32,5-6,42.653,13.264,6.3,4.8,bx0,5,4.18,0.24,bxn,CSTI1.1,42.618,13.251,0.0,4.04,0.16,Pry_ml,CSTI1.1,19921024_1844_000,
3699,MA,1992,11,05,13,34,27.86,Gargano,ISC,IM,41.702,15.778,14.2,5,bx,4.34,0.13,Wmim,BMING996,32,5,41.738,15.830,6.5,4.8,bx0,5,4.25,0.36,bxn,ISC,41.702,15.778,14.2,4.36,0.15,Pry_mlmsmb,CSTI1.1.ISC,19921105_1334_000,2845
3700,MA,1992,11,24,03,47,59.81,Ionio settentrionale,CSTI1.1,II,38.146,18.007,10.0,,,4.33,0.27,InsC,,,,,,,,,,,,,CSTI1.1,38.146,18.007,10.0,4.33,0.27,Pry_ml,CSTI1.1,19921124_0347_000,
3701,MA,1992,12,20,21,48,18.01,Piana di Gioia,CSTI1.1,IM,38.376,16.059,6.6,5,bx,3.82,0.15,Wmim,BMING996,30,5-6,38.365,16.067,1.8,2.6,bx0,5,4.07,0.22,bxn,CSTI1.1,38.376,16.059,6.6,3.60,0.21,Pry_ml,CSTI1.1,19921220_2148_000,
3702,MA,1992,12,21,23,12,18.33,Stretto di Sicilia,ISC,II,36.672,11.613,10.0,,,4.11,0.17,InsC,,,,,,,,,,,,,ISC,36.672,11.613,10.0,4.11,0.17,Pry_mlmsmb,CSTI1.1.ISC,19921221_2312_000,
3703,MA,1993,01,17,10,51,23.39,Alta Valtiberina,CSTI1.1,IM,43.614,12.210,7.9,5,bx,4.26,0.14,Wmim,BMING997,76,5,43.584,12.318,5.8,5.5,bx0,5,4.17,0.21,bxn,CSTI1.1,43.614,12.210,7.9,4.35,0.19,Pry_mlmsmb,CSTI1.1.ISC,19930117_1051_000,2846
3704,MA,1993,03,01,12,43,13.04,Tirreno meridionale,ISC,II,38.545,14.567,17.3,,,4.09,0.16,InsC,BMING997,27,4,,,,,,,,,,ISC,38.545,14.567,17.3,4.09,0.16,Pry_mlmsmb,CSTI1.1.ISC,19930301_1243_000,
3705,MA,1993,03,15,23,43,28.95,Cuneese,CSTI1.1,IM,44.431,7.364,10.9,5,bx,4.06,0.12,Wmim,BMING997,59,5,44.365,7.302,5.4,8.0,bx0,5,4.22,0.17,bxn,CSTI1.1,44.431,7.364,11.0,3.89,0.18,Pry_mlmsmb,CSTI1.1.ISC,19930315_2343_000,
3706,CA,1993,05,09,01,28,07.60,Tirreno meridionale,ISC,II,39.028,15.952,121.8,,,4.16,0.21,InsC,BMING998a,9,4-5,,,,,,,,,,ISC,39.028,15.952,121.8,4.16,0.21,Pry_msmb,ISC,19930509_0128_000,
3707,MA,1993,06,04,21,36,50.60,Valle del Topino,CSTI1.1,IM,43.121,12.763,5.3,5-6,bx,4.39,0.09,Wmim,BMING998a,90,5-6,43.087,12.703,3.9,6.7,bx0,5-6,4.46,0.13,bxn,CSTI1.1,43.121,12.763,5.3,4.32,0.13,Pry_mlmsmb,CSTI1.1.ISC,19930604_2136_000,2847
3708,MA,1993,06,05,19,16,17.02,Valle del Topino,CSTI1.1,IM,43.121,12.724,7.7,6,bx,4.72,0.10,InsO,BMING998a,326,6,43.105,12.722,4.1,6.0,bx0,6,4.69,0.10,bxn,CSTI1.1,43.121,12.724,7.7,4.72,0.10,MwMT,ITACMT,19930605_1916_000,2848
3709,EV,1993,06,14,05,13,05.58,Etna - Ballo (Zafferana E.),AZZAL000,MI,37.696,15.114,,5-6,bx,3.50,0.33,InsC,AZZAL000,46,5,37.696,15.114,0.8,0.4,bx0,5-6,2.91,0.30,IoV1,PATAL004,37.771,15.115,2.6,3.50,0.33,Pry_mdml,PATAL004,19930614_0513_000,2849
3710,MA,1993,06,14,12,28,36.10,Val d'Ossola,CSTI1.1,IM,45.964,8.283,7.3,5-6,bx,4.34,0.09,Wmim,BMING998a,139,5-6,45.971,8.288,5.2,4.5,bx0,5-6,4.40,0.11,bxn,CSTI1.1,45.964,8.283,7.4,4.17,0.19,Pry_mlmsmb,CSTI1.1.ISC,19930614_1228_000,
3711,MA,1993,06,26,17,47,52.88,Monti Madonie ?,CSTI1.1,IM,38.036,14.164,5.1,6-7,bx,4.92,0.10,InsO,AZZBA995,47,6-7,37.988,14.163,1.4,0.9,bx0,6-7,4.59,0.20,bxn,CSTI1.1,38.036,14.164,5.1,4.92,0.10,MwMT,ITACMT,19930626_1747_000,2850
3712,MA,1993,07,10,08,59,07.50,Vorarlberg. Arlberg,ZAMG010,PC,47.130,10.220,,5,pc,4.28,0.33,InsC,,,,,,,,,,,,,,,,,4.28,0.33,Pry_ml,CSTI1.1,19930710_0859_000,
3713,MA,1993,07,17,05,46,04.15,Liguria occidentale,CSTI1.1,IM,44.213,8.243,9.9,5,bx,3.88,0.16,Wmim,BMING998a,4,5,44.242,8.168,6.4,4.8,bx0,5,4.32,0.58,bxn,CSTI1.1,44.213,8.243,9.9,3.84,0.18,Pry_ml,CSTI1.1,19930717_0546_000,
3714,MA,1993,07,17,10,34,59.70,Liguria occidentale,CSTI1.1,IM,44.199,8.245,12.4,5,bx,4.34,0.09,Wmim,BMING998a,336,5-6,44.230,8.214,7.5,3.8,bx0,5,4.30,0.10,bxn,CSTI1.1,44.199,8.245,12.4,4.66,0.27,Pry_ml,CSTI1.1,19930717_1034_000,2851
3715,MA,1993,08,06,07,51,47.61,Colline Metallifere,CSTI1.1,IM,43.291,10.944,2.3,5-6,bx,4.03,0.12,Wmim,BMING998a,35,5-6,43.301,10.941,5.9,6.8,bx0,5-6,4.29,0.32,bxn,CSTI1.1,43.291,10.944,2.4,3.99,0.14,Pry_mlmsmb,CSTI1.1.ISC,19930806_0751_000,
3716,MA,1993,08,10,01,14,11.45,Golfo di Taranto,CSTI1.1,IM,39.523,17.101,0.1,4-5,bx,4.45,0.14,Wmim,BMING998a,79,5,39.548,17.307,12.6,12.5,bx4,4-5,4.36,0.20,bxn,CSTI1.1,39.523,17.101,0.0,4.55,0.21,Pry_ml,CSTI1.1,19930810_0114_000,2852
3717,MA,1993,08,16,06,40,40.69,Appennino campano-lucano,CSTI1.1,IM,40.601,15.566,2.2,5,bx,3.67,0.19,Wmim,BMING998a,22,5-6,40.603,15.487,2.7,1.3,bx0,5,4.03,0.46,bxn,CSTI1.1,40.601,15.566,2.3,3.60,0.21,Pry_ml,CSTI1.1,19930816_0640_000,
3718,CA,1993,08,31,00,16,40.64,Tirreno meridionale,CSTI1.1,II,39.962,15.208,342.6,,,4.16,0.21,InsC,,,,,,,,,,,,,CSTI1.1,39.962,15.208,342.7,4.16,0.21,Pry_msmb,ISC,19930831_0016_000,
3719,MA,1993,09,10,16,02,32.85,Stretto di Sicilia,ISC,II,35.055,12.336,10.0,,,5.26,0.10,InsO,,,,,,,,,,,,,ISC,35.055,12.336,10.0,5.26,0.10,MwMT,GLOBCMT,19930910_1602_000,2853
3720,EV,1993,10,12,20,21,21.27,Etna - Versante nord-occidentale,CSTI1.1,IM,37.821,14.861,18.2,4,bx,4.23,0.15,InsC,BMING998b,28,4,37.843,14.903,5.3,6.5,bx0,4,3.87,0.26,bxn,CSTI1.1,37.821,14.861,18.2,4.23,0.15,Pry_ml,CSTI1.1,19931012_2021_000,2854
3721,MA,1993,11,05,02,01,03.79,Cesenate,CSTI1.1,IM,44.194,12.205,0.1,,,3.99,0.23,Wmim,BMING998b,10,4-5,44.150,12.090,2.9,4.5,bx0,4-5,3.92,0.34,bxn,CSTI1.1,44.194,12.205,0.1,4.06,0.33,Pry_ml,CSTI1.1,19931105_0201_000,
3722,MA,1993,11,07,23,21,11.72,Cesenate,CSTI1.1,IM,44.181,12.180,7.7,4-5,bx,3.95,0.18,Wmim,BMING998b,36,5,44.141,12.132,5.8,5.3,bx0,4-5,3.96,0.43,bxn,CSTI1.1,44.181,12.180,7.8,3.95,0.21,Pry_ml,CSTI1.1,19931107_2321_000,
3723,MA,1993,11,09,13,46,24.39,Cesenate,CSTI1.1,IM,44.141,12.269,1.5,4-5,bx,3.93,0.17,Wmim,BMING998b,28,5,44.137,12.152,2.0,7.3,bx0,4-5,3.97,0.34,bxn,CSTI1.1,44.141,12.269,1.6,3.93,0.21,Pry_ml,CSTI1.1,19931109_1346_000,
3724,MA,1993,11,17,00,29,05.22,Arcipelago toscano,CSTI1.1,II,42.640,10.860,10.0,,,4.00,0.16,InsC,,,,,,,,,,,,,CSTI1.1,42.640,10.860,10.0,4.00,0.16,Pry_ml,CSTI1.1,19931117_0029_000,
3725,CA,1993,11,27,13,26,44.83,Tirreno meridionale,ISC,II,38.862,14.858,292.3,,,4.79,0.18,InsC,,,,,,,,,,,,,ISC,38.862,14.858,292.3,4.79,0.18,Pry_msmb,ISC,19931127_1326_000,
3726,MA,1993,12,09,18,16,50.88,Lago d'Iseo,CSTI1.1,IM,45.773,10.167,1.0,5,bx,4.11,0.08,Wmim,BMING998b,175,5-6,45.713,10.166,3.4,3.9,bx0,5,4.18,0.10,bxn,CSTI1.1,45.773,10.167,1.1,3.98,0.14,Pry_mlmsmb,CSTI1.1.ISC,19931209_1816_000,
3727,CA,1993,12,29,12,45,22.50,Pollino,CSTI1.1,II,39.732,15.994,279.3,,,4.36,0.21,InsC,,,,,,,,,,,,,CSTI1.1,39.732,15.994,279.4,4.36,0.21,Pry_msmb,ISC,19931229_1245_000,
3728,MA,1994,01,05,08,49,28.40,Monti della Laga,CSTI1.1,IM,42.577,13.244,0.1,4-5,bx,3.47,0.18,Wmim,BMING998c,23,5-6,42.484,13.271,2.4,1.5,bx0,4-5,3.87,0.41,bxn,CSTI1.1,42.577,13.244,0.1,3.37,0.21,Pry_ml,CSTI1.1,19940105_0849_000,
3729,CA,1994,01,05,13,24,11.37,Tirreno meridionale,ISC,II,39.163,15.177,290.5,,,5.82,0.10,InsO,BMING998c,148,4-5,,,,,,,,,,ISC,39.163,15.177,290.5,5.82,0.10,MwMT,GLOBCMT.NEIC,19940105_1324_000,
3730,CA,1994,01,06,12,28,53.85,Tirreno meridionale,CSTI1.1,II,39.612,15.577,333.5,,,4.07,0.26,InsC,,,,,,,,,,,,,CSTI1.1,39.612,15.577,333.6,4.07,0.26,Pry_msmb,ISC,19940106_1228_000,
3731,MA,1994,01,07,18,30,12.46,Golfo di Taranto,ISC,II,40.204,17.320,30.0,,,4.03,0.16,InsC,BMING998c,26,4-5,,,,,,,,,,ISC,40.204,17.320,30.0,4.03,0.16,Pry_ml,CSTI1.1,19940107_1830_000,
3732,MA,1994,01,20,06,59,13.49,Cuneese,CSTI1.1,IM,44.554,7.340,8.4,5-6,bx,4.34,0.12,Wmim,BMING998c,67,5-6,44.528,7.329,4.2,3.7,bx0,5-6,4.36,0.16,bxn,CSTI1.1,44.554,7.340,8.5,4.33,0.21,Pry_ml,CSTI1.1,19940120_0659_000,
3733,MA,1994,02,09,21,49,12.50,Val di Paglia,CSTI1.1,IM,42.804,11.927,0.1,4-5,bx,3.55,0.17,Wmim,BMING998c,27,5-6,42.675,11.931,1.7,3.4,bx0,4-5,3.95,0.32,bxn,CSTI1.1,42.804,11.927,0.0,3.38,0.21,Pry_ml,CSTI1.1,19940209_2149_000,
3734,CA,1994,03,21,21,41,01.92,Tirreno meridionale,ISC,II,39.748,15.460,278.2,,,5.03,0.10,InsO,,,,,,,,,,,,,ISC,39.748,15.460,278.2,5.03,0.10,MwMT,ITACMT,19940321_2141_000,
3735,MA,1994,03,26,00,41,18.48,Catanzarese,CSTI1.1,IM,38.913,16.775,25.8,4-5,bx,4.25,0.12,Wmim,BMING998c,41,4-5,38.858,16.564,8.6,5.8,bx0,4-5,4.02,0.39,bxn,CSTI1.1,38.913,16.775,25.8,4.29,0.13,Pry_mlmsmb,CSTI1.1.ISC,19940326_0041_000,2856
3736,MA,1994,03,31,09,41,42.80,Vorarlberg. Arlberg,ECOS-09,PC,47.132,10.102,,,,4.02,0.10,Mpc,,,,,,,,,,,,,,,,,4.82,0.33,Pry_ml,CSTI1.1,19940331_0941_000,2857
3737,MA,1994,04,20,21,25,25.70,Dolomiti Friulane,OGS-BFVG,IM,46.338,12.538,8.9,5-6,bx,4.12,0.10,InsO,BMING998c,159,6,46.369,12.507,3.4,5.1,bx0,5-6,4.46,0.11,bxn,OGS-BFVG,46.338,12.538,8.9,4.12,0.10,MwMT,ITACMT,19940420_2125_000,2858
